Statistical profiling result from isolate-0x103001e00-v8.log, (1096 ticks, 20 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.1%    0.1%  LazyCompile: ~emitReadable_ _stream_readable.js:537:23
      1    0.1%    0.1%  LazyCompile: ~emit events.js:146:44
      1    0.1%    0.1%  LazyCompile: ~defaultTriggerAsyncIdScope internal/async_hooks.js:289:36
      1    0.1%    0.1%  LazyCompile: ~createArgumentsString /Users/z002j8f/Desktop/Projects/nodeprofiler/node_modules/depd/index.js:73:32
      1    0.1%    0.1%  LazyCompile: ~args internal/util/types.js:11:10
      1    0.1%    0.1%  LazyCompile: ~afterWriteDispatched internal/stream_base_commons.js:125:30
      1    0.1%    0.1%  LazyCompile: ~_flushOutput _http_outgoing.js:793:63
      1    0.1%    0.1%  LazyCompile: ~_finish _http_server.js:141:52
      1    0.1%    0.1%  LazyCompile: ~_dump _http_incoming.js:272:49
      1    0.1%    0.1%  LazyCompile: ~_addListener events.js:208:22
      1    0.1%    0.1%  LazyCompile: ~_addHeaderLines _http_incoming.js:110:25
      1    0.1%    0.1%  LazyCompile: ~Socket._writeGeneric net.js:695:42
      1    0.1%    0.1%  LazyCompile: ~Module._compile internal/modules/cjs/loader.js:721:37
      1    0.1%    0.1%  LazyCompile: ~FastBuffer internal/buffer.js:788:1
      1    0.1%    0.1%  LazyCompile: ~Buffer buffer.js:166:16
      1    0.1%    0.1%  LazyCompile: ~<anonymous> internal/console/constructor.js:194:10
      1    0.1%    0.1%  LazyCompile: ~<anonymous> /Users/z002j8f/Desktop/Projects/nodeprofiler/node_modules/express/lib/router/index.js:271:64
      1    0.1%    0.1%  Builtin: StringPrototypeSubstr
      1    0.1%    0.1%  Builtin: StringPrototypeSlice
      1    0.1%    0.1%  Builtin: StringPrototypeIndexOf
      1    0.1%    0.1%  Builtin: StringEqual
      1    0.1%    0.1%  Builtin: StringAdd_CheckNone_NotTenured
      1    0.1%    0.1%  Builtin: RegExpPrototypeTest
      1    0.1%    0.1%  Builtin: RecordWrite
      1    0.1%    0.1%  Builtin: ObjectCreate
      1    0.1%    0.1%  Builtin: LoadIC_Uninitialized
      1    0.1%    0.1%  Builtin: LoadIC
      1    0.1%    0.1%  Builtin: FunctionPrototypeHasInstance
      1    0.1%    0.1%  Builtin: FindOrderedHashMapEntry
      1    0.1%    0.1%  Builtin: FastNewObject
      1    0.1%    0.1%  Builtin: ConstructWithSpread {1}
      1    0.1%    0.1%  Builtin: CompileLazy
      1    0.1%    0.1%  Builtin: CallFunction_ReceiverIsNullOrUndefined
      1    0.1%    0.1%  Builtin: CEntry_Return1_DontSaveFPRegs_ArgvOnStack_BuiltinExit
      1    0.1%    0.1%  Builtin: ArrayPrototypePush
      1    0.1%    0.1%  Builtin: ArrayPop

 [C++]:
   ticks  total  nonlib   name
    434   39.6%   40.2%  T _kpersona_get
     54    4.9%    5.0%  T node::crypto::PBKDF2(v8::FunctionCallbackInfo<v8::Value> const&)
     35    3.2%    3.2%  T node::native_module::NativeModuleLoader::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
     20    1.8%    1.9%  T _mach_error_type
     18    1.6%    1.7%  T ___guarded_open_np
     16    1.5%    1.5%  T node::contextify::ContextifyContext::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
     14    1.3%    1.3%  T void node::StreamBase::JSMethod<&(node::StreamBase::Writev(v8::FunctionCallbackInfo<v8::Value> const&))>(v8::FunctionCallbackInfo<v8::Value> const&)
